,FileName,Concentration,Probe,Temp,Tip radius_mean,Tip radius_std,ROI,InterphaseThickness,ForceSetpoint,group,Link,Farfieldcontactradius(Schwarz),Point,Z Rate,RelativeInterphaseThickness,Depth,calc_depth,k,a_hat,d_hat,thermal Q,f,k,
210,240124_5.0_HQ30030_80_75_500,5,HQ30030,80,26.81,3.697066405,500,150,75,101,240124_5.0_HQ30030_80_75_500,41.82578697,128,250,2.390869538,57.37160492,56.62429446,48.527,2.331046065,2.940560394,,,,
211,240124_5.0_HQ30030_80_100_500,5,HQ30030,80,26.81,3.697066405,500,150,100,101,240124_5.0_HQ30030_80_100_500,44.80519392,128,250,2.231884102,67.99807739,66.46153917,48.527,2.372546692,3.113666456,,,,
212,240124_10.0_HQ300_80_50_1000,10,HQ300,80,12.43,2.551182732,1000,500,50,101,240124_10.0_HQ300_80_50_1000,27.84135085,128,250,17.95889872,58.73592377,54.78856755,29.395,2.406915378,3.259777407,,,,
213,240124_10.0_HQ300_80_75_1000,10,HQ300,80,12.43,2.551182732,1000,500,75,101,240124_10.0_HQ300_80_75_1000,30.61343006,128,250,16.33270101,74.21035767,68.04933332,29.395,2.514079167,3.731344919,,,,
214,240124_10.0_HQ300_80_100_1000,10,HQ300,80,12.43,2.551182732,1000,500,100,101,240124_10.0_HQ300_80_100_1000,31.86255851,128,250,15.69239958,83.05644226,75.416226,29.395,2.599016865,4.122264187,,,,
215,240124_10.0_HQ30030_80_50_1000,10,HQ30030,80,25.6175,3.562324849,1000,500,50,101,240124_10.0_HQ30030_80_50_1000,40.62989301,128,250,12.30621011,45.45251846,46.02191014,45.735,2.290819751,2.776245802,,,,
216,240124_10.0_HQ30030_80_75_1000,10,HQ30030,80,25.6175,3.562324849,1000,500,75,101,240124_10.0_HQ30030_80_75_1000,43.92246585,128,250,11.38369603,55.53887177,55.03990938,45.735,2.371021726,3.10724117,,,,
217,240124_10.0_HQ30030_80_100_1000,10,HQ30030,80,25.6175,3.562324849,1000,500,100,101,240124_10.0_HQ30030_80_100_1000,46.64762022,128,250,10.71866041,65.43275452,63.651346,45.735,2.471616696,3.541599111,,,,
218,240124_20.0_HQ300_80_50_3000,20,HQ300,80,14.24666667,2.619166534,3000,1000,50,101,240124_20.0_HQ300_80_50_3000,32.03423307,128,250,31.21660499,62.01150131,57.79226605,31.053,2.612966723,4.187914953,,,,
219,240124_20.0_HQ300_80_75_3000,20,HQ300,80,14.24666667,2.619166534,3000,1000,75,101,240124_20.0_HQ300_80_75_3000,36.20984272,128,250,27.61680043,81.97953796,76.09652601,31.053,2.658986368,4.407384757,,,,
